"date","institut","land","party","poll_share"
2017-11-05,"INSA","by","spd",17
2017-11-05,"INSA","by","gru",10
2017-11-05,"INSA","by","fdp",8
2017-11-05,"INSA","by","lin",4
2017-11-05,"INSA","by","cdu",37
2017-11-05,"INSA","by","afd",13
2017-10-19,"GMS","by","spd",15
2017-10-19,"GMS","by","gru",11
2017-10-19,"GMS","by","fdp",7
2017-10-19,"GMS","by","lin",3
2017-10-19,"GMS","by","cdu",41
2017-10-19,"GMS","by","afd",13
2017-01-11,"Infratestdimap","by","spd",14
2017-01-11,"Infratestdimap","by","gru",13
2017-01-11,"Infratestdimap","by","fdp",4
2017-01-11,"Infratestdimap","by","lin",3
2017-01-11,"Infratestdimap","by","cdu",45
2017-01-11,"Infratestdimap","by","afd",10
2016-11-03,"GMS","by","spd",18
2016-11-03,"GMS","by","gru",10
2016-11-03,"GMS","by","fdp",6
2016-11-03,"GMS","by","lin",2
2016-11-03,"GMS","by","cdu",44
2016-11-03,"GMS","by","afd",9
2016-10-13,"GMS","by","spd",19
2016-10-13,"GMS","by","gru",10
2016-10-13,"GMS","by","fdp",5
2016-10-13,"GMS","by","lin",2
2016-10-13,"GMS","by","cdu",45
2016-10-13,"GMS","by","afd",9
2016-09-15,"GMS","by","spd",18
2016-09-15,"GMS","by","gru",12
2016-09-15,"GMS","by","fdp",5
2016-09-15,"GMS","by","lin",2
2016-09-15,"GMS","by","cdu",45
2016-09-15,"GMS","by","afd",9
2016-07-20,"Forsa","by","spd",16
2016-07-20,"Forsa","by","gru",14
2016-07-20,"Forsa","by","fdp",4
2016-07-20,"Forsa","by","lin",3
2016-07-20,"Forsa","by","cdu",43
2016-07-20,"Forsa","by","afd",8
2016-07-17,"Infratestdimap","by","spd",17
2016-07-17,"Infratestdimap","by","gru",13
2016-07-17,"Infratestdimap","by","fdp",4
2016-07-17,"Infratestdimap","by","cdu",45
2016-07-17,"Infratestdimap","by","afd",9
2016-07-14,"GMS","by","spd",17
2016-07-14,"GMS","by","gru",11
2016-07-14,"GMS","by","fdp",5
2016-07-14,"GMS","by","lin",2
2016-07-14,"GMS","by","cdu",47
2016-07-14,"GMS","by","afd",7
2016-06-14,"INSA","by","spd",17.5
2016-06-14,"INSA","by","gru",11.5
2016-06-14,"INSA","by","fdp",3.5
2016-06-14,"INSA","by","lin",3.5
2016-06-14,"INSA","by","cdu",47.5
2016-06-14,"INSA","by","afd",7
2016-06-08,"Forsa","by","spd",16
2016-06-08,"Forsa","by","gru",14
2016-06-08,"Forsa","by","fdp",4
2016-06-08,"Forsa","by","lin",3
2016-06-08,"Forsa","by","cdu",40
2016-06-08,"Forsa","by","afd",10
2016-06-02,"GMS","by","spd",17
2016-06-02,"GMS","by","gru",10
2016-06-02,"GMS","by","fdp",5
2016-06-02,"GMS","by","lin",2
2016-06-02,"GMS","by","cdu",48
2016-06-02,"GMS","by","afd",8
2016-04-21,"GMS","by","spd",16
2016-04-21,"GMS","by","gru",10
2016-04-21,"GMS","by","fdp",5
2016-04-21,"GMS","by","lin",2
2016-04-21,"GMS","by","cdu",48
2016-04-21,"GMS","by","afd",9
2016-03-17,"GMS","by","spd",16
2016-03-17,"GMS","by","gru",11
2016-03-17,"GMS","by","fdp",5
2016-03-17,"GMS","by","lin",2
2016-03-17,"GMS","by","cdu",48
2016-03-17,"GMS","by","afd",9
2016-02-18,"GMS","by","spd",17
2016-02-18,"GMS","by","gru",11
2016-02-18,"GMS","by","fdp",4
2016-02-18,"GMS","by","lin",2
2016-02-18,"GMS","by","cdu",46
2016-02-18,"GMS","by","afd",9
2016-01-13,"Infratestdimap","by","spd",16
2016-01-13,"Infratestdimap","by","gru",12
2016-01-13,"Infratestdimap","by","fdp",3
2016-01-13,"Infratestdimap","by","lin",3
2016-01-13,"Infratestdimap","by","cdu",47
2016-01-13,"Infratestdimap","by","afd",8
2016-01-04,"GMS","by","spd",19
2016-01-04,"GMS","by","gru",10
2016-01-04,"GMS","by","fdp",4
2016-01-04,"GMS","by","lin",3
2016-01-04,"GMS","by","cdu",45
2016-01-04,"GMS","by","afd",7
2015-11-19,"GMS","by","spd",18
2015-11-19,"GMS","by","gru",11
2015-11-19,"GMS","by","fdp",4
2015-11-19,"GMS","by","lin",3
2015-11-19,"GMS","by","cdu",46
2015-11-19,"GMS","by","afd",8
2015-10-08,"GMS","by","spd",18
2015-10-08,"GMS","by","gru",12
2015-10-08,"GMS","by","fdp",6
2015-10-08,"GMS","by","cdu",46
2015-10-08,"GMS","by","afd",5
2015-10-07,"Forsa","by","spd",19
2015-10-07,"Forsa","by","gru",11
2015-10-07,"Forsa","by","fdp",4
2015-10-07,"Forsa","by","lin",3
2015-10-07,"Forsa","by","cdu",43
2015-10-07,"Forsa","by","afd",6
2015-09-17,"GMS","by","spd",20
2015-09-17,"GMS","by","gru",10
2015-09-17,"GMS","by","fdp",5
2015-09-17,"GMS","by","cdu",49
2015-09-17,"GMS","by","afd",2
2015-07-23,"GMS","by","spd",20
2015-07-23,"GMS","by","gru",10
2015-07-23,"GMS","by","fdp",5
2015-07-23,"GMS","by","cdu",47
2015-07-23,"GMS","by","afd",2
2015-06-25,"GMS","by","spd",19
2015-06-25,"GMS","by","gru",9
2015-06-25,"GMS","by","fdp",5
2015-06-25,"GMS","by","lin",2
2015-06-25,"GMS","by","cdu",48
2015-06-25,"GMS","by","afd",4
2015-06-19,"INSA","by","spd",20
2015-06-19,"INSA","by","gru",8
2015-06-19,"INSA","by","fdp",4
2015-06-19,"INSA","by","lin",3
2015-06-19,"INSA","by","cdu",46
2015-06-19,"INSA","by","afd",4
2015-05-15,"GMS","by","spd",18
2015-05-15,"GMS","by","gru",10
2015-05-15,"GMS","by","fdp",4
2015-05-15,"GMS","by","cdu",48
2015-05-15,"GMS","by","afd",5
2015-04-16,"GMS","by","spd",19
2015-04-16,"GMS","by","gru",10
2015-04-16,"GMS","by","fdp",4
2015-04-16,"GMS","by","lin",2
2015-04-16,"GMS","by","cdu",48
2015-04-16,"GMS","by","afd",4
2015-04-08,"Forsa","by","spd",19
2015-04-08,"Forsa","by","gru",11
2015-04-08,"Forsa","by","fdp",3
2015-04-08,"Forsa","by","lin",2
2015-04-08,"Forsa","by","cdu",47
2015-04-08,"Forsa","by","afd",4
2015-01-14,"Infratestdimap","by","spd",19
2015-01-14,"Infratestdimap","by","gru",9
2015-01-14,"Infratestdimap","by","fdp",3
2015-01-14,"Infratestdimap","by","lin",3
2015-01-14,"Infratestdimap","by","cdu",46
2015-01-14,"Infratestdimap","by","afd",4
2015-01-12,"pollytix","by","spd",20
2015-01-12,"pollytix","by","gru",10
2015-01-12,"pollytix","by","fdp",2
2015-01-12,"pollytix","by","lin",3
2015-01-12,"pollytix","by","cdu",47
2015-01-12,"pollytix","by","afd",6
2014-12-03,"GMS","by","spd",18
2014-12-03,"GMS","by","gru",9
2014-12-03,"GMS","by","fdp",2
2014-12-03,"GMS","by","lin",2
2014-12-03,"GMS","by","cdu",49
2014-12-03,"GMS","by","afd",5
2014-11-13,"Emnid","by","spd",18
2014-11-13,"Emnid","by","gru",9
2014-11-13,"Emnid","by","fdp",2
2014-11-13,"Emnid","by","lin",2
2014-11-13,"Emnid","by","cdu",48
2014-11-13,"Emnid","by","afd",5
2014-03-16,"Infratestdimap","by","spd",18
2014-03-16,"Infratestdimap","by","gru",11
2014-03-16,"Infratestdimap","by","cdu",46
2014-01-15,"Infratestdimap","by","spd",19
2014-01-15,"Infratestdimap","by","gru",10
2014-01-15,"Infratestdimap","by","fdp",4
2014-01-15,"Infratestdimap","by","lin",2
2014-01-15,"Infratestdimap","by","cdu",49
2013-09-12,"Emnid","by","spd",18
2013-09-12,"Emnid","by","gru",12
2013-09-12,"Emnid","by","fdp",4
2013-09-12,"Emnid","by","lin",4
2013-09-12,"Emnid","by","cdu",47
2013-09-12,"Emnid","by","pir",3
2013-09-06,"Forschungs-gruppe Wahlen","by","spd",20
2013-09-06,"Forschungs-gruppe Wahlen","by","gru",10
2013-09-06,"Forschungs-gruppe Wahlen","by","fdp",4
2013-09-06,"Forschungs-gruppe Wahlen","by","cdu",48
2013-09-05,"Infratestdimap","by","spd",21
2013-09-05,"Infratestdimap","by","gru",11
2013-09-05,"Infratestdimap","by","fdp",3
2013-09-05,"Infratestdimap","by","lin",3
2013-09-05,"Infratestdimap","by","cdu",47
2013-09-03,"GMS","by","spd",18
2013-09-03,"GMS","by","gru",13
2013-09-03,"GMS","by","fdp",5
2013-09-03,"GMS","by","lin",3
2013-09-03,"GMS","by","cdu",47
2013-09-03,"GMS","by","pir",2
2013-08-28,"Emnid","by","spd",18
2013-08-28,"Emnid","by","gru",13
2013-08-28,"Emnid","by","fdp",4
2013-08-28,"Emnid","by","lin",3
2013-08-28,"Emnid","by","cdu",48
2013-08-28,"Emnid","by","pir",3
2013-07-17,"Infratestdimap","by","spd",18
2013-07-17,"Infratestdimap","by","gru",15
2013-07-17,"Infratestdimap","by","fdp",3
2013-07-17,"Infratestdimap","by","lin",3
2013-07-17,"Infratestdimap","by","cdu",47
2013-07-11,"GMS","by","spd",19
2013-07-11,"GMS","by","gru",11
2013-07-11,"GMS","by","fdp",5
2013-07-11,"GMS","by","lin",2
2013-07-11,"GMS","by","cdu",47
2013-07-11,"GMS","by","pir",2
2013-07-10,"Emnid","by","spd",19
2013-07-10,"Emnid","by","gru",11
2013-07-10,"Emnid","by","fdp",5
2013-07-10,"Emnid","by","lin",3
2013-07-10,"Emnid","by","cdu",47
2013-07-10,"Emnid","by","pir",3
2013-06-14,"Forschungs-gruppe Wahlen","by","spd",20
2013-06-14,"Forschungs-gruppe Wahlen","by","gru",13
2013-06-14,"Forschungs-gruppe Wahlen","by","fdp",4
2013-06-14,"Forschungs-gruppe Wahlen","by","cdu",46
2013-06-11,"GMS","by","spd",20
2013-06-11,"GMS","by","gru",11
2013-06-11,"GMS","by","fdp",4
2013-06-11,"GMS","by","lin",3
2013-06-11,"GMS","by","cdu",46
2013-06-11,"GMS","by","pir",2
2013-05-28,"Forsa","by","spd",20
2013-05-28,"Forsa","by","gru",12
2013-05-28,"Forsa","by","fdp",4
2013-05-28,"Forsa","by","lin",3
2013-05-28,"Forsa","by","cdu",46
2013-05-28,"Forsa","by","pir",2
2013-05-02,"GMS","by","spd",20
2013-05-02,"GMS","by","gru",13
2013-05-02,"GMS","by","fdp",3
2013-05-02,"GMS","by","lin",2
2013-05-02,"GMS","by","cdu",47
2013-05-02,"GMS","by","pir",2
2013-04-22,"INSA","by","spd",18
2013-04-22,"INSA","by","gru",16
2013-04-22,"INSA","by","fdp",2
2013-04-22,"INSA","by","lin",2
2013-04-22,"INSA","by","cdu",49
2013-03-06,"GMS","by","spd",21
2013-03-06,"GMS","by","gru",12
2013-03-06,"GMS","by","fdp",3
2013-03-06,"GMS","by","lin",3
2013-03-06,"GMS","by","cdu",48
2013-03-06,"GMS","by","pir",2
2013-02-12,"TNSInfratest","by","spd",19
2013-02-12,"TNSInfratest","by","gru",15
2013-02-12,"TNSInfratest","by","fdp",3
2013-02-12,"TNSInfratest","by","lin",2
2013-02-12,"TNSInfratest","by","cdu",46
2013-02-12,"TNSInfratest","by","pir",3
2013-02-10,"Emnid","by","spd",20
2013-02-10,"Emnid","by","gru",12
2013-02-10,"Emnid","by","fdp",3
2013-02-10,"Emnid","by","lin",2
2013-02-10,"Emnid","by","cdu",48
2013-02-10,"Emnid","by","pir",3
2013-01-15,"Emnid","by","spd",20
2013-01-15,"Emnid","by","gru",12
2013-01-15,"Emnid","by","fdp",3
2013-01-15,"Emnid","by","lin",3
2013-01-15,"Emnid","by","cdu",48
2013-01-15,"Emnid","by","pir",3
2013-01-10,"Forsa","by","spd",18
2013-01-10,"Forsa","by","gru",13
2013-01-10,"Forsa","by","fdp",3
2013-01-10,"Forsa","by","lin",4
2013-01-10,"Forsa","by","cdu",46
2013-01-10,"Forsa","by","pir",2
2013-01-09,"Infratestdimap","by","spd",19
2013-01-09,"Infratestdimap","by","gru",14
2013-01-09,"Infratestdimap","by","fdp",3
2013-01-09,"Infratestdimap","by","lin",2
2013-01-09,"Infratestdimap","by","cdu",47
2013-01-09,"Infratestdimap","by","pir",3
2012-12-15,"GMS","by","spd",22
2012-12-15,"GMS","by","gru",10
2012-12-15,"GMS","by","fdp",4
2012-12-15,"GMS","by","cdu",49
2012-12-15,"GMS","by","pir",4
2012-11-20,"GMS","by","spd",20
2012-11-20,"GMS","by","gru",10
2012-11-20,"GMS","by","fdp",5
2012-11-20,"GMS","by","lin",2
2012-11-20,"GMS","by","cdu",48
2012-11-20,"GMS","by","pir",4
2012-10-19,"GMS","by","spd",20
2012-10-19,"GMS","by","gru",10
2012-10-19,"GMS","by","fdp",5
2012-10-19,"GMS","by","lin",2
2012-10-19,"GMS","by","cdu",48
2012-10-19,"GMS","by","pir",4
2012-10-14,"Emnid","by","spd",21
2012-10-14,"Emnid","by","gru",10
2012-10-14,"Emnid","by","fdp",4
2012-10-14,"Emnid","by","lin",2
2012-10-14,"Emnid","by","cdu",48
2012-10-14,"Emnid","by","pir",4
2012-09-18,"Emnid","by","spd",21
2012-09-18,"Emnid","by","gru",10
2012-09-18,"Emnid","by","fdp",3
2012-09-18,"Emnid","by","lin",2
2012-09-18,"Emnid","by","cdu",47
2012-09-18,"Emnid","by","pir",5
2012-08-13,"Emnid","by","spd",20
2012-08-13,"Emnid","by","gru",12
2012-08-13,"Emnid","by","fdp",3
2012-08-13,"Emnid","by","lin",2
2012-08-13,"Emnid","by","cdu",46
2012-08-13,"Emnid","by","pir",6
2012-07-17,"GMS","by","spd",19
2012-07-17,"GMS","by","gru",10
2012-07-17,"GMS","by","fdp",4
2012-07-17,"GMS","by","cdu",47
2012-07-04,"Forsa","by","spd",23
2012-07-04,"Forsa","by","gru",11
2012-07-04,"Forsa","by","fdp",2
2012-07-04,"Forsa","by","lin",2
2012-07-04,"Forsa","by","cdu",43
2012-07-04,"Forsa","by","pir",6
2012-06-24,"Emnid","by","spd",22
2012-06-24,"Emnid","by","gru",13
2012-06-24,"Emnid","by","fdp",3
2012-06-24,"Emnid","by","lin",1
2012-06-24,"Emnid","by","cdu",44
2012-06-24,"Emnid","by","pir",7
2012-04-20,"Emnid","by","spd",20
2012-04-20,"Emnid","by","gru",12
2012-04-20,"Emnid","by","fdp",2
2012-04-20,"Emnid","by","lin",2
2012-04-20,"Emnid","by","cdu",46
2012-04-20,"Emnid","by","pir",8
2012-03-24,"Emnid","by","spd",20
2012-03-24,"Emnid","by","gru",13
2012-03-24,"Emnid","by","fdp",2
2012-03-24,"Emnid","by","lin",2
2012-03-24,"Emnid","by","cdu",46
2012-03-24,"Emnid","by","pir",5
2012-01-04,"Infratestdimap","by","spd",21
2012-01-04,"Infratestdimap","by","gru",14
2012-01-04,"Infratestdimap","by","fdp",3
2012-01-04,"Infratestdimap","by","lin",2
2012-01-04,"Infratestdimap","by","cdu",44
2012-01-04,"Infratestdimap","by","pir",4
2012-01-04,"GMS","by","spd",22
2012-01-04,"GMS","by","gru",12
2012-01-04,"GMS","by","fdp",2
2012-01-04,"GMS","by","lin",2
2012-01-04,"GMS","by","cdu",42
2012-01-04,"GMS","by","pir",5
2011-12-21,"Emnid","by","spd",21
2011-12-21,"Emnid","by","gru",13
2011-12-21,"Emnid","by","fdp",2
2011-12-21,"Emnid","by","lin",2
2011-12-21,"Emnid","by","cdu",44
2011-12-21,"Emnid","by","pir",5
2011-12-11,"Forsa","by","spd",24
2011-12-11,"Forsa","by","gru",10
2011-12-11,"Forsa","by","fdp",3
2011-12-11,"Forsa","by","lin",3
2011-12-11,"Forsa","by","cdu",41
2011-12-11,"Forsa","by","pir",6
2011-09-25,"Emnid","by","spd",20
2011-09-25,"Emnid","by","gru",17
2011-09-25,"Emnid","by","fdp",2
2011-09-25,"Emnid","by","lin",3
2011-09-25,"Emnid","by","cdu",43
2011-09-06,"Emnid","by","spd",18
2011-09-06,"Emnid","by","gru",18
2011-09-06,"Emnid","by","fdp",4
2011-09-06,"Emnid","by","cdu",44
2011-08-31,"Forsa","by","spd",21
2011-08-31,"Forsa","by","gru",16
2011-08-31,"Forsa","by","fdp",3
2011-08-31,"Forsa","by","lin",4
2011-08-31,"Forsa","by","cdu",41
2011-06-10,"GMS","by","spd",19
2011-06-10,"GMS","by","gru",18
2011-06-10,"GMS","by","fdp",4
2011-06-10,"GMS","by","lin",4
2011-06-10,"GMS","by","cdu",42
2011-06-10,"Emnid","by","spd",15
2011-06-10,"Emnid","by","gru",20
2011-06-10,"Emnid","by","fdp",4
2011-06-10,"Emnid","by","lin",4
2011-06-10,"Emnid","by","cdu",45
2011-03-20,"Emnid","by","spd",17
2011-03-20,"Emnid","by","gru",17
2011-03-20,"Emnid","by","fdp",4
2011-03-20,"Emnid","by","lin",4
2011-03-20,"Emnid","by","cdu",46
2011-01-19,"Forsa","by","spd",16
2011-01-19,"Forsa","by","gru",20
2011-01-19,"Forsa","by","fdp",4
2011-01-19,"Forsa","by","lin",4
2011-01-19,"Forsa","by","cdu",40
2011-01-12,"Infratestdimap","by","spd",17
2011-01-12,"Infratestdimap","by","gru",17
2011-01-12,"Infratestdimap","by","fdp",6
2011-01-12,"Infratestdimap","by","lin",4
2011-01-12,"Infratestdimap","by","cdu",46
2011-01-12,"Infratestdimap","by","pir",1
2011-01-04,"Emnid","by","spd",18
2011-01-04,"Emnid","by","gru",16
2011-01-04,"Emnid","by","fdp",5
2011-01-04,"Emnid","by","lin",5
2011-01-04,"Emnid","by","cdu",45
2010-01-13,"Infratestdimap","by","spd",17
2010-01-13,"Infratestdimap","by","gru",15
2010-01-13,"Infratestdimap","by","fdp",11
2010-01-13,"Infratestdimap","by","lin",5
2010-01-13,"Infratestdimap","by","cdu",41
2009-01-14,"Infratestdimap","by","spd",17
2009-01-14,"Infratestdimap","by","gru",11
2009-01-14,"Infratestdimap","by","fdp",10
2009-01-14,"Infratestdimap","by","lin",3
2009-01-14,"Infratestdimap","by","cdu",45
2009-01-07,"GMS","by","spd",19
2009-01-07,"GMS","by","gru",10
2009-01-07,"GMS","by","fdp",8
2009-01-07,"GMS","by","lin",4
2009-01-07,"GMS","by","cdu",45
2008-12-18,"GMS","by","spd",19
2008-12-18,"GMS","by","gru",10
2008-12-18,"GMS","by","fdp",8
2008-12-18,"GMS","by","lin",4
2008-12-18,"GMS","by","cdu",45
2008-09-23,"Emnid","by","spd",20
2008-09-23,"Emnid","by","gru",8
2008-09-23,"Emnid","by","fdp",8
2008-09-23,"Emnid","by","lin",5
2008-09-23,"Emnid","by","cdu",49
2008-09-22,"GMS","by","spd",19
2008-09-22,"GMS","by","gru",10
2008-09-22,"GMS","by","fdp",7
2008-09-22,"GMS","by","lin",4
2008-09-22,"GMS","by","cdu",48
2008-09-19,"Forschungs-gruppe Wahlen","by","spd",20
2008-09-19,"Forschungs-gruppe Wahlen","by","gru",8
2008-09-19,"Forschungs-gruppe Wahlen","by","fdp",9
2008-09-19,"Forschungs-gruppe Wahlen","by","lin",4
2008-09-19,"Forschungs-gruppe Wahlen","by","cdu",47
2008-09-18,"Infratestdimap","by","spd",21
2008-09-18,"Infratestdimap","by","gru",9
2008-09-18,"Infratestdimap","by","fdp",8
2008-09-18,"Infratestdimap","by","lin",4
2008-09-18,"Infratestdimap","by","cdu",47
2008-09-17,"Forsa","by","spd",19
2008-09-17,"Forsa","by","gru",9
2008-09-17,"Forsa","by","fdp",6
2008-09-17,"Forsa","by","lin",4
2008-09-17,"Forsa","by","cdu",50
2008-09-09,"GMS","by","spd",19
2008-09-09,"GMS","by","gru",11
2008-09-09,"GMS","by","fdp",7
2008-09-09,"GMS","by","lin",4
2008-09-09,"GMS","by","cdu",49
2008-08-01,"Forschungs-gruppe Wahlen","by","spd",20
2008-08-01,"Forschungs-gruppe Wahlen","by","gru",9
2008-08-01,"Forschungs-gruppe Wahlen","by","fdp",6
2008-08-01,"Forschungs-gruppe Wahlen","by","lin",4
2008-08-01,"Forschungs-gruppe Wahlen","by","cdu",50
2008-07-30,"Infratestdimap","by","spd",22
2008-07-30,"Infratestdimap","by","gru",9
2008-07-30,"Infratestdimap","by","fdp",8
2008-07-30,"Infratestdimap","by","lin",4
2008-07-30,"Infratestdimap","by","cdu",48
2008-07-19,"Emnid","by","spd",19
2008-07-19,"Emnid","by","gru",9
2008-07-19,"Emnid","by","fdp",7
2008-07-19,"Emnid","by","lin",5
2008-07-19,"Emnid","by","cdu",51
2008-07-11,"TNSInfratest","by","spd",21
2008-07-11,"TNSInfratest","by","gru",11
2008-07-11,"TNSInfratest","by","fdp",8
2008-07-11,"TNSInfratest","by","lin",4
2008-07-11,"TNSInfratest","by","cdu",48
2008-07-10,"GMS","by","spd",20
2008-07-10,"GMS","by","gru",8
2008-07-10,"GMS","by","fdp",5
2008-07-10,"GMS","by","lin",5
2008-07-10,"GMS","by","cdu",50
2008-06-05,"GMS","by","spd",20
2008-06-05,"GMS","by","gru",9
2008-06-05,"GMS","by","fdp",5
2008-06-05,"GMS","by","lin",5
2008-06-05,"GMS","by","cdu",49
2008-05-01,"Infratestdimap","by","spd",23
2008-05-01,"Infratestdimap","by","gru",10
2008-05-01,"Infratestdimap","by","fdp",6
2008-05-01,"Infratestdimap","by","lin",4
2008-05-01,"Infratestdimap","by","cdu",48
2008-04-25,"mifmMünchen","by","spd",20
2008-04-25,"mifmMünchen","by","gru",11
2008-04-25,"mifmMünchen","by","fdp",9
2008-04-25,"mifmMünchen","by","lin",3
2008-04-25,"mifmMünchen","by","cdu",44
2008-04-15,"mifmMünchen","by","spd",19
2008-04-15,"mifmMünchen","by","gru",12
2008-04-15,"mifmMünchen","by","fdp",11
2008-04-15,"mifmMünchen","by","lin",4
2008-04-15,"mifmMünchen","by","cdu",40
2008-04-19,"GMS","by","spd",20
2008-04-19,"GMS","by","gru",10
2008-04-19,"GMS","by","fdp",6
2008-04-19,"GMS","by","lin",4
2008-04-19,"GMS","by","cdu",51
2008-04-07,"GMS","by","spd",21
2008-04-07,"GMS","by","gru",10
2008-04-07,"GMS","by","fdp",5
2008-04-07,"GMS","by","lin",4
2008-04-07,"GMS","by","cdu",50
2008-03-02,"Emnid","by","spd",19
2008-03-02,"Emnid","by","gru",11
2008-03-02,"Emnid","by","fdp",6
2008-03-02,"Emnid","by","lin",4
2008-03-02,"Emnid","by","cdu",51
2008-02-15,"mifmMünchen","by","spd",20
2008-02-15,"mifmMünchen","by","gru",11
2008-02-15,"mifmMünchen","by","fdp",7
2008-02-15,"mifmMünchen","by","lin",3
2008-02-15,"mifmMünchen","by","cdu",50
2008-01-09,"Infratestdimap","by","spd",21
2008-01-09,"Infratestdimap","by","gru",10
2008-01-09,"Infratestdimap","by","fdp",6
2008-01-09,"Infratestdimap","by","lin",3
2008-01-09,"Infratestdimap","by","cdu",52
2008-01-05,"Emnid","by","spd",20
2008-01-05,"Emnid","by","gru",10
2008-01-05,"Emnid","by","fdp",6
2008-01-05,"Emnid","by","lin",4
2008-01-05,"Emnid","by","cdu",54
2008-01-04,"GMS","by","spd",21
2008-01-04,"GMS","by","gru",9
2008-01-04,"GMS","by","fdp",4
2008-01-04,"GMS","by","lin",3
2008-01-04,"GMS","by","cdu",56
2007-12-18,"GMS","by","spd",20
2007-12-18,"GMS","by","gru",9
2007-12-18,"GMS","by","fdp",5
2007-12-18,"GMS","by","lin",3
2007-12-18,"GMS","by","cdu",55
2007-11-29,"Forsa","by","spd",17
2007-11-29,"Forsa","by","gru",9
2007-11-29,"Forsa","by","fdp",4
2007-11-29,"Forsa","by","lin",4
2007-11-29,"Forsa","by","cdu",56
2007-11-14,"mifmMünchen","by","spd",19.1
2007-11-14,"mifmMünchen","by","gru",9.9
2007-11-14,"mifmMünchen","by","fdp",7
2007-11-14,"mifmMünchen","by","lin",3.2
2007-11-14,"mifmMünchen","by","cdu",53.8
2007-10-22,"GMS","by","spd",23
2007-10-22,"GMS","by","gru",10
2007-10-22,"GMS","by","fdp",4
2007-10-22,"GMS","by","lin",3
2007-10-22,"GMS","by","cdu",54
2007-09-27,"Forschungs-gruppeWahlen **","by","spd",22
2007-09-27,"Forschungs-gruppeWahlen **","by","gru",9
2007-09-27,"Forschungs-gruppeWahlen **","by","fdp",4
2007-09-27,"Forschungs-gruppeWahlen **","by","lin",3
2007-09-27,"Forschungs-gruppeWahlen **","by","cdu",56
2007-09-24,"mifmMünchen","by","spd",17
2007-09-24,"mifmMünchen","by","gru",10
2007-09-24,"mifmMünchen","by","fdp",7
2007-09-24,"mifmMünchen","by","lin",3
2007-09-24,"mifmMünchen","by","cdu",53
2007-09-21,"Forsa","by","spd",19
2007-09-21,"Forsa","by","gru",9
2007-09-21,"Forsa","by","fdp",4
2007-09-21,"Forsa","by","lin",3
2007-09-21,"Forsa","by","cdu",57
2007-08-02,"Forsa","by","spd",17
2007-08-02,"Forsa","by","gru",9
2007-08-02,"Forsa","by","fdp",4
2007-08-02,"Forsa","by","lin",3
2007-08-02,"Forsa","by","cdu",58
2007-07-24,"TNSInfratest","by","spd",22
2007-07-24,"TNSInfratest","by","gru",11
2007-07-24,"TNSInfratest","by","fdp",5
2007-07-24,"TNSInfratest","by","lin",3
2007-07-24,"TNSInfratest","by","cdu",54
2007-07-23,"dimap","by","spd",18
2007-07-23,"dimap","by","gru",11
2007-07-23,"dimap","by","fdp",4
2007-07-23,"dimap","by","lin",4
2007-07-23,"dimap","by","cdu",58
2007-06-21,"Forsa","by","spd",16
2007-06-21,"Forsa","by","gru",9
2007-06-21,"Forsa","by","fdp",6
2007-06-21,"Forsa","by","lin",3
2007-06-21,"Forsa","by","cdu",56
2007-06-20,"GMS","by","spd",18
2007-06-20,"GMS","by","gru",9
2007-06-20,"GMS","by","fdp",8
2007-06-20,"GMS","by","lin",3
2007-06-20,"GMS","by","cdu",54
2007-05-10,"Forsa","by","spd",17
2007-05-10,"Forsa","by","gru",9
2007-05-10,"Forsa","by","fdp",6
2007-05-10,"Forsa","by","lin",3
2007-05-10,"Forsa","by","cdu",56
2007-04-05,"Forsa","by","spd",20
2007-04-05,"Forsa","by","gru",9
2007-04-05,"Forsa","by","fdp",4
2007-04-05,"Forsa","by","lin",3
2007-04-05,"Forsa","by","cdu",54
2007-03-28,"Infratestdimap","by","spd",23
2007-03-28,"Infratestdimap","by","gru",10
2007-03-28,"Infratestdimap","by","fdp",6
2007-03-28,"Infratestdimap","by","lin",2
2007-03-28,"Infratestdimap","by","cdu",53
2007-03-09,"GMS","by","spd",20
2007-03-09,"GMS","by","gru",9
2007-03-09,"GMS","by","fdp",7
2007-03-09,"GMS","by","lin",2
2007-03-09,"GMS","by","cdu",53
2007-03-01,"Forsa","by","spd",19
2007-03-01,"Forsa","by","gru",9
2007-03-01,"Forsa","by","fdp",6
2007-03-01,"Forsa","by","lin",3
2007-03-01,"Forsa","by","cdu",53
2007-01-26,"GMS","by","spd",22
2007-01-26,"GMS","by","gru",9
2007-01-26,"GMS","by","fdp",7
2007-01-26,"GMS","by","lin",2
2007-01-26,"GMS","by","cdu",52
2007-01-21,"Infratestdimap","by","spd",24
2007-01-21,"Infratestdimap","by","gru",9
2007-01-21,"Infratestdimap","by","fdp",7
2007-01-21,"Infratestdimap","by","cdu",52
2007-01-15,"Infratestdimap","by","spd",24
2007-01-15,"Infratestdimap","by","gru",11
2007-01-15,"Infratestdimap","by","fdp",8
2007-01-15,"Infratestdimap","by","cdu",50
2007-01-15,"Forsa","by","spd",22
2007-01-15,"Forsa","by","gru",9
2007-01-15,"Forsa","by","fdp",6
2007-01-15,"Forsa","by","lin",4
2007-01-15,"Forsa","by","cdu",49
2007-01-13,"Forschungs-gruppeWahlen **","by","spd",27
2007-01-13,"Forschungs-gruppeWahlen **","by","gru",10
